,Activity Period,Operating Airline,Operating Airline IATA Code,GEO Region,Terminal,Boarding Area,Passenger Count,Year,Month,cluster,Activity Period,Operating Airline,GEO Region,Boarding Area,Passenger Count,Year,Month
120,200508,Air China,CA,Asia,International,G,4204,2005,August,0,200508,Air China,Asia,G,4204,2005,August
121,200508,Air China,CA,Asia,International,G,3923,2005,August,0,200508,Air China,Asia,G,3923,2005,August
122,200508,Air France,AF,Europe,International,A,11230,2005,August,0,200508,Air France,Europe,A,11230,2005,August
123,200508,Air France,AF,Europe,International,A,11731,2005,August,0,200508,Air France,Europe,A,11731,2005,August
124,200508,Air New Zealand,NZ,Australia / Oceania,International,G,4672,2005,August,0,200508,Air New Zealand,Australia / Oceania,G,4672,2005,August
125,200508,Air New Zealand,NZ,Australia / Oceania,International,G,4006,2005,August,0,200508,Air New Zealand,Australia / Oceania,G,4006,2005,August
126,200508,AirTran Airways,FL,US,International,A,7796,2005,August,0,200508,AirTran Airways,US,A,7796,2005,August
127,200508,AirTran Airways,FL,US,International,A,7737,2005,August,0,200508,AirTran Airways,US,A,7737,2005,August
128,200508,Alaska Airlines,AS,US,International,A,40431,2005,August,1,200508,Alaska Airlines,US,A,40431,2005,August
129,200508,Alaska Airlines,AS,US,International,A,39595,2005,August,1,200508,Alaska Airlines,US,A,39595,2005,August
130,200508,Alaska Airlines,AS,US,International,A,1902,2005,August,0,200508,Alaska Airlines,US,A,1902,2005,August
131,200508,Alaska Airlines,AS,Canada,International,A,8901,2005,August,0,200508,Alaska Airlines,Canada,A,8901,2005,August
132,200508,Alaska Airlines,AS,Canada,International,A,9020,2005,August,0,200508,Alaska Airlines,Canada,A,9020,2005,August
133,200508,Alaska Airlines,AS,Mexico,International,A,7541,2005,August,0,200508,Alaska Airlines,Mexico,A,7541,2005,August
134,200508,Alaska Airlines,AS,Mexico,International,A,9333,2005,August,0,200508,Alaska Airlines,Mexico,A,9333,2005,August
135,200508,Alaska Airlines,AS,Mexico,International,A,1902,2005,August,0,200508,Alaska Airlines,Mexico,A,1902,2005,August
136,200508,All Nippon Airways,NH,Asia,International,G,6739,2005,August,0,200508,All Nippon Airways,Asia,G,6739,2005,August
137,200508,All Nippon Airways,NH,Asia,International,G,5966,2005,August,0,200508,All Nippon Airways,Asia,G,5966,2005,August
138,200508,American Airlines,AA,US,Terminal 3,E,162064,2005,August,1,200508,American Airlines,US,E,44836,2005,August
139,200508,American Airlines,AA,US,Terminal 3,E,157700,2005,August,1,200508,American Airlines,US,E,44836,2005,August
140,200508,American Eagle Airlines,MQ,US,Terminal 3,E,5233,2005,August,0,200508,American Eagle Airlines,US,E,5233,2005,August
141,200508,American Eagle Airlines,MQ,US,Terminal 3,E,4866,2005,August,0,200508,American Eagle Airlines,US,E,4866,2005,August
142,200508,Asiana Airlines,OZ,Asia,International,A,4099,2005,August,0,200508,Asiana Airlines,Asia,A,4099,2005,August
143,200508,Asiana Airlines,OZ,Asia,International,A,3376,2005,August,0,200508,Asiana Airlines,Asia,A,3376,2005,August
144,200508,Atlantic Southeast Airlines,EV,US,Terminal 1,C,1735,2005,August,0,200508,Atlantic Southeast Airlines,US,C,1735,2005,August
145,200508,Atlantic Southeast Airlines,EV,US,Terminal 1,C,1560,2005,August,0,200508,Atlantic Southeast Airlines,US,C,1560,2005,August
146,200508,BelAir Airlines,4T,Europe,International,A,353,2005,August,0,200508,BelAir Airlines,Europe,A,353,2005,August
147,200508,BelAir Airlines,4T,Europe,International,A,751,2005,August,0,200508,BelAir Airlines,Europe,A,751,2005,August
148,200508,Boeing Company,,US,Other,Other,18,2005,August,0,200508,Boeing Company,US,Other,18,2005,August
149,200508,British Airways,BA,Europe,International,A,20312,2005,August,0,200508,British Airways,Europe,A,20312,2005,August
150,200508,British Airways,BA,Europe,International,A,20084,2005,August,0,200508,British Airways,Europe,A,20084,2005,August
151,200508,Cathay Pacific,CX,Asia,International,A,11753,2005,August,0,200508,Cathay Pacific,Asia,A,11753,2005,August
152,200508,Cathay Pacific,CX,Asia,International,A,9050,2005,August,0,200508,Cathay Pacific,Asia,A,9050,2005,August
153,200508,China Airlines,CI,Asia,International,A,14610,2005,August,0,200508,China Airlines,Asia,A,14610,2005,August
154,200508,China Airlines,CI,Asia,International,A,10972,2005,August,0,200508,China Airlines,Asia,A,10972,2005,August
155,200508,Delta Air Lines,DL,US,Terminal 1,C,97343,2005,August,1,200508,Delta Air Lines,US,C,44836,2005,August
